ref,title,year,source,selection_criteria,status,display,input,interaction,collaboration,model,size,doi
,Storage bins: Mobile storage for collaborative tabletop displays,2005,Scopus,Study describing digital tabletop application that mentions the hardware used,Accepted,Rear-Projected,Sensor-Assisted-Vision-Based,Touch,Colaboração presencial,SMART Board,,10.1109/MCG.2005.86
,CoR2Ds,2005,ACM Digital Library,Study describing digital tabletop application that mentions the hardware used,Accepted,Front-Projected,Electrical-Based,"Multi-touch, Touch",Colaboração presencial,DiamondTouch,42”,10.1145/1056808.1057021
,StoryGrid [educational computing],2005,IEEE Digital Library,Study describing digital tabletop techniques,Accepted,Front-Projected,Tangible-Tokens,Tangibility,Colaboração presencial,,,10.1109/MP.2005.1462467
,Tabletop sharing of digital photographs for the elderly,2006,ACM Digital Library,Study describing digital tabletop application that mentions the hardware used,Accepted,Front-Projected,Electrical-Based,"Multi-touch, Touch",Colaboração presencial,DiamondTouch,42”,10.1145/1124772.1124887
,Multi-user interface and interactions on direct-touch horizontal surfaces: collaborative tabletop research at MERL,2006,IEEE Digital Library,Study evaluating digital tabletop techniques,Accepted,Front-Projected,Electrical-Based,"Multi-touch, Touch",Colaboração presencial,DiamondTouch,42”,10.1109/TABLETOP.2006.22
,Fluid DTMouse: Better mouse support for touch-based interactions,2006,Scopus,Study describing digital tabletop application that mentions the hardware used,Accepted,Front-Projected,Electrical-Based,"Multi-touch, Touch",Colaboração presencial,DiamondTouch,42”,10.1145/1133265.1133289
,"MultiSpace: enabling electronic document micro-mobility in table-centric, multi-device environments",2006,IEEE Digital Library,Study describing digital tabletop techniques,Accepted,Front-Projected,Electrical-Based,"Multi-touch, Touch",Colaboração presencial,DiamondTouch,42”,10.1109/TABLETOP.2006.23
,InfrActables: Multi-User Tracking System for Interactive Surfaces,2006,IEEE Digital Library,Study describing digital tabletop techniques,Accepted,Rear-Projected,"Pen, Sensor-Assisted-Vision-Based",Tangibility,Colaboração presencial,,,10.1109/VR.2006.86
,Shared Design Space: Sketching Ideas Using Digital Pens and a Large Augmented Tabletop Setup,2006,Springer Link,Study describing digital tabletop techniques,Accepted,Front-Projected,"Pen, Sensor-Assisted-Vision-Based",Tangibility,Colaboração presencial,Anoto pens,,10.1007/11941354_20
,Evaluating the effects of fluid interface components on tabletop collaboration,2006,ACM Digital Library,Study describing digital tabletop application that mentions the hardware used,Accepted,Front-Projected,Sensor-Assisted-Vision-Based,Touch,Colaboração presencial,,72”,10.1145/1133265.1133272
,The reacTable: a tangible tabletop musical instrument and collaborative workbench,2006,ACM Digital Library,Study describing digital tabletop techniques,Accepted,Rear-Projected,"Tangible-Tokens, Vision-Based",Tangibility,Colaboração presencial,,,10.1145/1179849.1179963
,Transparent tabletop interface for multiple users on Lumisight Table,2006,Scopus,Study describing digital tabletop techniques,Accepted,Rear-Projected,"Sensor-Assisted-Vision-Based, Vision-Based","Gesture, Tangibility",Colaboração presencial,,,10.1109/TABLETOP.2006.34
,Collaborative simulation interface for planning disaster measures,2006,ACM Digital Library,Study describing digital tabletop application that mentions the hardware used,Accepted,Front-Projected,Tangible-Tokens,Tangibility,Colaboração presencial,,40”,10.1145/1125451.1125639
,The 3D Tractus: a three-dimensional drawing board,2006,IEEE Digital Library,Study describing digital tabletop techniques,Accepted,Embedded,Pen,Tangibility,Usuário único,,,10.1109/TABLETOP.2006.33
,u-Table: A Tabletop Interface for Multiple Users,2006,Springer Link,Study describing digital tabletop techniques,Accepted,Rear-Projected,"Sensor-Assisted-Vision-Based, Tangible-Tokens, Vision-Based","Multi-touch, Tangibility, Touch",Colaboração presencial,u-Table,59”,10.1007/11751540_107
,TViews: An Extensible Architecture for Multiuser Digital Media Tables,2006,IEEE Digital Library,Study describing digital tabletop techniques,Accepted,Embedded,"Sensor-Assisted-Vision-Based, Tangible-Tokens",Tangibility,Colaboração presencial,TViews,,10.1109/MCG.2006.117
,Supporting Effective Interaction with Tabletop Groupware,2006,IEEE Digital Library,Study evaluating digital tabletop techniques,Accepted,Front-Projected,Electrical-Based,"Multi-touch, Touch",Colaboração presencial,DiamondTouch,42”,10.1109/TABLETOP.2006.29
,Mediating Group Dynamics through Tabletop Interface Design,2006,IEEE Digital Library,Study evaluating digital tabletop techniques,Accepted,Front-Projected,Electrical-Based,"Multi-touch, Touch",Colaboração presencial,DiamondTouch,42”,10.1109/MCG.2006.114
,TeamSearch: comparing techniques for co-present collaborative search of digital media,2006,IEEE Digital Library,Study describing digital tabletop application that mentions the hardware used,Accepted,Front-Projected,Electrical-Based,"Multi-touch, Touch",Colaboração presencial,DiamondTouch,42”,10.1109/TABLETOP.2006.32
,Cooperative gestures: multi-user gestural interactions for co-located groupware,2006,ACM Digital Library,Study describing digital tabletop application that mentions the hardware used,Accepted,Front-Projected,Electrical-Based,"Multi-touch, Touch",Colaboração presencial,DiamondTouch,42”,10.1145/1124772.1124952
,TeamTag: exploring centralized versus replicated controls for co-located tabletop groupware,2006,ACM Digital Library,Study describing digital tabletop application that mentions the hardware used,Accepted,Front-Projected,Electrical-Based,"Multi-touch, Touch",Colaboração presencial,DiamondTouch,42”,10.1145/1124772.1124964
,Integrating Point and Touch for Interaction with Digital Tabletop Displays,2006,IEEE Digital Library,Study describing digital tabletop techniques,Accepted,Front-Projected,Pen,Tangibility,Usuário único,,,10.1109/MCG.2006.110
,SIDES: a cooperative tabletop computer game for social skills development,2006,ACM Digital Library,Study describing digital tabletop application that mentions the hardware used,Accepted,Front-Projected,Electrical-Based,"Multi-touch, Touch",Colaboração presencial,DiamondTouch,42”,10.1145/1180875.1180877
,Presenting a Large Urban Area in a Virtual Maquette: An Integrated 3D Model with a �Tangible User Interface�,2006,Springer Link,Study describing digital tabletop application that mentions the hardware used,Accepted,Front-Projected,"Tangible-Tokens, Vision-Based",Tangibility,Colaboração presencial,,,10.1007/11590064_22
,Experiences with and observations of direct-touch tabletops,2006,IEEE Digital Library,Study evaluating digital tabletop techniques,Accepted,Front-Projected,Electrical-Based,"Multi-touch, Touch",Colaboração presencial,DiamondTouch,42”,10.1109/TABLETOP.2006.12
,Collaborative searching for video using the Fischlar system and a DiamondTouch table,2006,IEEE Digital Library,Study describing digital tabletop application that mentions the hardware used,Accepted,Front-Projected,Electrical-Based,"Multi-touch, Touch",Colaboração presencial,DiamondTouch,42”,10.1109/TABLETOP.2006.7
,Collaborative video searching on a tabletop,2006,Springer Link,Study describing digital tabletop techniques,Accepted,Front-Projected,Electrical-Based,"Multi-touch, Touch",Colaboração presencial,DiamondTouch,42”,10.1007/s00530-006-0064-7
,Collaborative coupling over tabletop displays,2006,ACM Digital Library,Study evaluating digital tabletop techniques,Accepted,Front-Projected,"Pen, Sensor-Assisted-Vision-Based","Tangibility, Touch",Colaboração presencial,,,10.1145/1124772.1124950
,Enabling interaction with single user applications through speech and gestures on a multi-user tabletop,2006,ACM Digital Library,Study describing digital tabletop application that mentions the hardware used,Accepted,Front-Projected,"Sound-Based, Electrical-Based","Gesture, Multi-touch, Speech, Touch",Colaboração presencial,Diamond Touch + Gesture + Speech,42”,10.1145/1133265.1133336
,GSI demo: multiuser gesture/speech interaction over digital tables by wrapping single user applications,2006,ACM Digital Library,Study describing digital tabletop application that mentions the hardware used,Accepted,Front-Projected,"Pen, Sound-Based, Electrical-Based","Gesture, Multi-touch, Speech, Tangibility, Touch",Colaboração presencial,DiamondTouch + Gesture + Speech,42”,10.1145/1180995.1181012
,Table-centric interactive spaces for real-time collaboration,2006,ACM Digital Library,Study describing digital tabletop application that mentions the hardware used,Accepted,Front-Projected,Electrical-Based,"Multi-touch, Touch",Colaboração presencial,DiamondTouch,42”,10.1145/1133265.1133286
,MapTable: a tactical command and control interface,2006,ACM Digital Library,Study describing digital tabletop application that mentions the hardware used,Accepted,Rear-Projected,Sensor-Assisted-Vision-Based,Touch,Colaboração presencial,SMART Board,,10.1145/1111449.1111515
,aMAZEd: designing an affective social game for children,2007,ACM Digital Library,Study describing digital tabletop application that mentions the hardware used,Accepted,Front-Projected,"Sensor-Assisted-Vision-Based, Tangible-Tokens",Tangibility,Colaboração presencial,Visual Interaction Platform (VIP),,10.1145/1297277.1297287
,Weathergods: tangible interaction in a digital tabletop game,2007,ACM Digital Library,Study describing digital tabletop application that mentions the hardware used,Accepted,Embedded,"Tangible-Tokens, Electrical-Based","Tangibility, Touch",Colaboração presencial,,,10.1145/1226969.1227000
,Tangible interaction in tabletop games: studying iconic and symbolic play pieces,2007,ACM Digital Library,Study describing digital tabletop application that mentions the hardware used,Accepted,Embedded,"Tangible-Tokens, Electrical-Based","Tangibility, Touch",Colaboração presencial,,,10.1145/1255047.1255081
,Computer-Supported Creativity: Evaluation of a Tabletop Mind-Map Application,2007,Springer Link,Study evaluating digital tabletop techniques,Accepted,Front-Projected,Electrical-Based,"Multi-touch, Touch",Colaboração presencial,DiamondTouch,42”,10.1007/978-3-540-73331-7_3
,Tabletop File System Access: Associative and Hierarchical Approaches,2007,IEEE Digital Library,Study describing digital tabletop application that mentions the hardware used,Accepted,Front-Projected,Pen,Tangibility,Colaboração presencial,,,10.1109/TABLETOP.2007.22
,Exploring tabletop file system interaction,2007,ACM Digital Library,Study describing digital tabletop application that mentions the hardware used,Accepted,Front-Projected,"Pen, Sensor-Assisted-Vision-Based","Gesture, Tangibility",Colaboração presencial,,,10.1145/1240866.1240975
,Toward understanding the importance of gesture in distributed scientific collaboration,2007,Springer Link,Study evaluating digital tabletop techniques,Accepted,Front-Projected,Electrical-Based,"Multi-touch, Touch",Colaboração presencial,DiamondTouch,42”,10.1007/s10115-006-0062-2
,Direct-touch vs. mouse input for tabletop displays,2007,ACM Digital Library,Study evaluating digital tabletop techniques,Accepted,Front-Projected,Electrical-Based,"Multi-touch, Touch",Colaboração presencial,DiamondTouch,42”,10.1145/1240624.1240726
,"Shallow-depth 3d interaction: design and evaluation of one-, two- and three-touch techniques",2007,ACM Digital Library,Study describing digital tabletop application that mentions the hardware used,Accepted,Front-Projected,Electrical-Based,"Multi-touch, Touch",Colaboração presencial,DiamondTouch,42”,10.1145/1240624.1240798
,"The living-room: browsing, organizing and presenting digital image collections in interactive environments",2007,IEEE Digital Library,Study describing digital tabletop application that mentions the hardware used,Accepted,Embedded,"Sensor-Assisted-Vision-Based, Tangible-Tokens, Vision-Based","Tangibility, Touch",Colaboração presencial,,79”,10.1049/cp:20070425
,Interactive Tree Comparison for Co-located Collaborative Information Visualization,2007,IEEE Digital Library,Study describing digital tabletop techniques,Accepted,Rear-Projected,Sensor-Assisted-Vision-Based,Touch,Colaboração presencial,SMART Board,,10.1109/TVCG.2007.70568
,Evaluation of Content Handling Methods for Tabletop Interface,2007,Springer Link,Study evaluating digital tabletop techniques,Accepted,"Rear-Projected, Front-Projected",Sensor-Assisted-Vision-Based,Touch,Colaboração presencial,SMART Board + Top projected,,10.1007/978-3-540-73107-8_37
,The reacTable: exploring the synergy between live music performance and tabletop tangible interfaces,2007,ACM Digital Library,Study describing digital tabletop techniques,Accepted,Rear-Projected,"Tangible-Tokens, Vision-Based","Multi-touch, Tangibility, Touch",Colaboração presencial,reacTable,,10.1145/1226969.1226998
,Believable interaction with a quasi-tangible tabletop interface,2007,Scopus,Study evaluating digital tabletop techniques,Accepted,Rear-Projected,"Tangible-Tokens, Vision-Based","Gesture, Multi-touch, Tangibility, Touch",Colaboração presencial,,,10.1002/cav.167
,Gesture-Based Interactions on Multiple Large Displays with a Tabletop Interface,2007,Springer Link,Study describing digital tabletop techniques,Accepted,Rear-Projected,"Sensor-Assisted-Vision-Based, Tangible-Tokens, Vision-Based","Multi-touch, Tangibility, Touch",Colaboração presencial,u-Table,59”,10.1007/978-3-540-73281-5_102
,Improving Menu Interaction for Cluttered Tabletop Setups with User-Drawn Path Menus,2007,IEEE Digital Library,Study evaluating digital tabletop techniques,Accepted,Rear-Projected,Pen,Tangibility,Usuário único,,,10.1109/TABLETOP.2007.24
,Exploratory study on concurrent interaction in co-located collaboration,2007,ACM Digital Library,Study describing digital tabletop application that mentions the hardware used,Accepted,Embedded,Sensor-Assisted-Vision-Based,Touch,Colaboração presencial,[braccetto] research platform,46’’,10.1145/1324892.1324925
,The TViews Table in the Home,2007,IEEE Digital Library,Study evaluating digital tabletop techniques,Accepted,Embedded,"Sensor-Assisted-Vision-Based, Tangible-Tokens",Tangibility,Colaboração presencial,TViews,,10.1109/TABLETOP.2007.19
,Improving disaster response with multi-touch technologies,2007,IEEE Digital Library,Study describing digital tabletop application that mentions the hardware used,Accepted,Front-Projected,Electrical-Based,"Multi-touch, Touch",Colaboração presencial,DiamondTouch,42”,10.1109/IROS.2007.4399558
,A 2D-3D integrated tabletop environment for multi-user collaboration,2007,Scopus,Study describing digital tabletop techniques,Accepted,"Rear-Projected, Front-Projected","Tangible-Tokens, Wearables",Tangibility,Colaboração presencial,,,10.1002/cav.160
,Vision-Based Projected Tabletop Interface for Finger Interactions,2007,Springer Link,Study describing digital tabletop techniques,Accepted,Front-Projected,Vision-Based,Touch,Usuário único,,,10.1007/978-3-540-75773-3_6
,Affordances for manipulation of physical versus digital media on interactive surfaces,2007,ACM Digital Library,Study evaluating digital tabletop techniques,Accepted,Rear-Projected,Vision-Based,"Gesture, Multi-touch, Touch",Colaboração presencial,,30”,10.1145/1240624.1240799
,Multimodal Split View Tabletop Interaction Over Existing Applications,2007,IEEE Digital Library,Study describing digital tabletop application that mentions the hardware used,Accepted,Front-Projected,Electrical-Based,"Multi-touch, Touch",Colaboração presencial,DiamondTouch,42”,10.1109/TABLETOP.2007.21
,Multimodal multiplayer tabletop gaming,2007,ACM Digital Library,Study describing digital tabletop application that mentions the hardware used,Accepted,Front-Projected,Electrical-Based,"Multi-touch, Touch",Colaboração presencial,DiamondTouch,42”,10.1145/1279540.1279552
,T3: Rapid Prototyping of High-Resolution and Mixed-Presence Tabletop Applications,2007,IEEE Digital Library,Study describing digital tabletop techniques,Accepted,Front-Projected,Pen,Tangibility,"Colaboração presencial, Colaboração remota",,,10.1109/TABLETOP.2007.16
,Distributed tabletops: territoriality and orientation in distributed collaboration,2007,ACM Digital Library,Study describing digital tabletop application that mentions the hardware used,Accepted,Front-Projected,Pen,Tangibility,Colaboração remota,,,10.1145/1240866.1240986
,Strategic Tabletop Negotiations,2007,Springer Link,Study evaluating digital tabletop techniques,Accepted,Front-Projected,Electrical-Based,"Multi-touch, Touch",Colaboração presencial,DiamondTouch,42”,10.1007/978-3-540-74800-7_13
,Music browsing using a tabletop display,2007,Scopus,Study describing digital tabletop application that mentions the hardware used,Accepted,Front-Projected,Electrical-Based,"Multi-touch, Touch",Colaboração presencial,DiamondTouch,42”,
,Designing and evaluating the tabletop game experience for senior citizens,2008,ACM Digital Library,Study describing digital tabletop application that mentions the hardware used,Accepted,Front-Projected,"Sensor-Assisted-Vision-Based, Tangible-Tokens",Tangibility,Colaboração presencial,Visual Interaction Platform (VIP),,10.1145/1463160.1463205
,Presence disparity in mixed presence collaboration,2008,ACM Digital Library,Study describing digital tabletop application that mentions the hardware used,Accepted,Embedded,Electrical-Based,Touch,Colaboração presencial,,46”,10.1145/1358628.1358845
,Pen and paper techniques for physical customisation of tabletop interfaces,2008,IEEE Digital Library,Study describing digital tabletop techniques,Accepted,Front-Projected,"Pen, Sensor-Assisted-Vision-Based, Tangible-Tokens",Tangibility,Usuário único,,,10.1109/TABLETOP.2008.4660178
,Combining and measuring the benefits of bimanual pen and direct-touch interaction on horizontal interfaces,2008,ACM Digital Library,Study describing digital tabletop application that mentions the hardware used,Accepted,Front-Projected,"Pen, Electrical-Based","Gesture, Multi-touch, Tangibility, Touch",Usuário único,DiamondTouch + Anoto Pen,42”,10.1145/1385569.1385595
,The multi-touch SoundScape renderer,2008,ACM Digital Library,Study describing digital tabletop techniques,Accepted,Rear-Projected,Sensor-Assisted-Vision-Based,"Multi-touch, Touch",Colaboração presencial,,,10.1145/1385569.1385660
,A single-user tabletop card game system for older persons: General lessons learned from an in-situ study,2008,IEEE Digital Library,Study describing digital tabletop application that mentions the hardware used,Accepted,Embedded,Electrical-Based,Touch,Usuário único,,19”,10.1109/TABLETOP.2008.4660188
,Utilizing Digital Tabletops in Collocated Agile Planning Meetings,2008,IEEE Digital Library,Study describing digital tabletop application that mentions the hardware used,Accepted,Embedded,"Pen, Sound-Based, Sensor-Assisted-Vision-Based","Speech, Touch",Colaboração presencial,,,10.1109/Agile.2008.13
,Keeping up appearances: interpretation of tangible artifact design,2008,ACM Digital Library,Study describing digital tabletop application that mentions the hardware used,Accepted,Rear-Projected,Tangible-Tokens,Tangibility,Colaboração presencial,,,10.1145/1463160.1463178
,Collaboration and interference: awareness with mice or touch input,2008,ACM Digital Library,Study evaluating digital tabletop techniques,Accepted,Front-Projected,Electrical-Based,"Multi-touch, Touch",Colaboração presencial,DiamondTouch,42”,10.1145/1460563.1460589
,Experiences with building a thin form-factor touch and tangible tabletop,2008,IEEE Digital Library,Study describing digital tabletop techniques,Accepted,Embedded,Sensor-Assisted-Vision-Based,"Multi-touch, Tangibility, Touch",Usuário único,ThinSight,,10.1109/TABLETOP.2008.4660203
,Children's haptic experiences of tangible artifacts varying in hardness,2008,ACM Digital Library,Study describing digital tabletop application that mentions the hardware used,Accepted,Rear-Projected,"Tangible-Tokens, Vision-Based","Multi-touch, Tangibility",Colaboração presencial,,,10.1145/1463160.1463184
,An Immersive Motion Interface with Edutainment Contents for Elderly People,2008,Springer Link,Study describing digital tabletop application that mentions the hardware used,Accepted,Rear-Projected,"Sensor-Assisted-Vision-Based, Tangible-Tokens, Vision-Based","Multi-touch, Tangibility, Touch",Colaboração presencial,u-Table,59”,10.1007/978-3-540-89220-5_16
,"IncreTable, a mixed reality tabletop game experience",2008,ACM Digital Library,Study describing digital tabletop application that mentions the hardware used,Accepted,"Rear-Projected, Front-Projected","Pen, Tangible-Tokens, Vision-Based",Tangibility,Colaboração presencial,,,10.1145/1501750.1501753
,Improving digital handoff in shared tabletop workspaces,2008,IEEE Digital Library,Study describing digital tabletop application that mentions the hardware used,Accepted,Front-Projected,"Pen, Tangible-Tokens, Wearables",Tangibility,Colaboração presencial,,75”,10.1109/TABLETOP.2008.4660177
,Touchers and mousers: commonalities and differences in co-located collaboration with multiple input devices,2008,ACM Digital Library,Study evaluating digital tabletop techniques,Accepted,Embedded,Sensor-Assisted-Vision-Based,Touch,Colaboração presencial,[braccetto] research platform,46’’,10.1145/1357054.1357234
,The ColorTable: a design story,2008,ACM Digital Library,Study describing digital tabletop techniques,Accepted,Front-Projected,Tangible-Tokens,Tangibility,Colaboração presencial,,,10.1145/1347390.1347412
,When the fingers do the talking: A study of group participation with varying constraints to a tabletop interface,2008,IEEE Digital Library,Study evaluating digital tabletop techniques,Accepted,Front-Projected,Electrical-Based,"Multi-touch, Touch",Colaboração presencial,DiamondTouch,42”,10.1109/TABLETOP.2008.4660181
,Interaction techniques for the analysis of complex data on high-resolution displays,2008,ACM Digital Library,Study describing digital tabletop application that mentions the hardware used,Accepted,Rear-Projected,"Sound-Based, Sensor-Assisted-Vision-Based, Tangible-Tokens, Vision-Based","Gesture, Speech, Tangibility",Colaboração presencial,,83”,10.1145/1452392.1452399
,A Tabletop Interface Using Controllable Transparency Glass for Collaborative Card-Based Creative Activity,2008,Springer Link,Study describing digital tabletop techniques,Accepted,Rear-Projected,"Tangible-Tokens, Vision-Based",Tangibility,Colaboração presencial,AwareTable,,10.1007/978-3-540-85565-1_106
,TMAR: Extension of a Tabletop Interface Using Mobile Augmented Reality,2008,Springer Link,Study describing digital tabletop techniques,Accepted,Rear-Projected,"Tangible-Tokens, Vision-Based",Tangibility,Colaboração presencial,ARTable,,10.1007/978-3-540-69744-2_9
,Supporting medical conversations between deaf and hearing individuals with tabletop displays,2008,ACM Digital Library,Study describing digital tabletop application that mentions the hardware used,Accepted,Front-Projected,Electrical-Based,"Multi-touch, Touch",Colaboração presencial,DiamondTouch,42”,10.1145/1460563.1460587
,Implementation and evaluations of vision-based finger flicking gesture recognition for tabletops,2008,IEEE Digital Library,Study describing digital tabletop application that mentions the hardware used,Accepted,Embedded,Vision-Based,Gesture,Colaboração presencial,,,10.1109/TABLETOP.2008.4660196
,Hxi: research down under in distributed intense collaboration between teams,2008,ACM Digital Library,Study evaluating digital tabletop techniques,Accepted,Embedded,Sensor-Assisted-Vision-Based,Touch,Colaboração presencial,[braccetto] research platform,46’’,10.1145/1358628.1358906
,A co-located interface for narration to support reconciliation in a conflict: initial results from Jewish and Palestinian youth,2008,ACM Digital Library,Study describing digital tabletop application that mentions the hardware used,Accepted,Front-Projected,Electrical-Based,"Multi-touch, Touch",Colaboração presencial,DiamondTouch,42”,10.1145/1357054.1357302
,Attribute gates,2008,ACM Digital Library,Study describing digital tabletop application that mentions the hardware used,Accepted,Front-Projected,Pen,Tangibility,Colaboração presencial,Promethean Activboard,,10.1145/1449715.1449726
,Designing environments for collaborative video editing,2008,IEEE Digital Library,Study describing digital tabletop application that mentions the hardware used,Accepted,Embedded,Sensor-Assisted-Vision-Based,"Multi-touch, Touch",Colaboração presencial,,,10.1049/cp:20081137
,Exploring true multi-user multimodal interaction over a digital table,2008,ACM Digital Library,Study describing digital tabletop application that mentions the hardware used,Accepted,Front-Projected,Electrical-Based,"Multi-touch, Touch",Colaboração presencial,DiamondTouch,42”,10.1145/1394445.1394457
,A low-cost infrastructure for tabletop games,2008,ACM Digital Library,Study describing digital tabletop techniques,Accepted,Rear-Projected,Sensor-Assisted-Vision-Based,"Multi-touch, Touch",Colaboração presencial,,,10.1145/1496984.1497008
,"Are tangibles more fun? comparing children's enjoyment and engagement using physical, graphical and tangible user interfaces",2008,ACM Digital Library,Study evaluating digital tabletop techniques,Accepted,Embedded,Tangible-Tokens,Tangibility,Colaboração presencial,,,10.1145/1347390.1347433
,Tabletop AgilePlanner: A tabletop-based project planning tool for agile software development teams,2008,IEEE Digital Library,Study describing digital tabletop application that mentions the hardware used,Accepted,Rear-Projected,Sensor-Assisted-Vision-Based,Touch,Colaboração presencial,SMART Board,,10.1109/TABLETOP.2008.4660194
,Finger gesture interaction on large tabletop for sharing digital documents among multiple users,2008,IEEE Digital Library,Study describing digital tabletop application that mentions the hardware used,Accepted,Rear-Projected,Sensor-Assisted-Vision-Based,"Multi-touch, Touch",Colaboração presencial,uTable,169”,10.1109/UMEDIA.2008.4570858
,The EventTable technique: distributed fiducial markers,2009,ACM Digital Library,Study describing digital tabletop techniques,Accepted,Rear-Projected,"Sensor-Assisted-Vision-Based, Tangible-Tokens, Vision-Based",Tangibility,Colaboração presencial,EventTable,,10.1145/1517664.1517728
,Media Crate: tangible live media production interface,2009,ACM Digital Library,Study describing digital tabletop application that mentions the hardware used,Accepted,Rear-Projected,Vision-Based,"Multi-touch, Tangibility, Touch",Usuário único,,,10.1145/1517664.1517718
,Collaborative Puzzle Game: Fostering collaboration in children with autistic spectrum disorder (ASD) and with typical development,2009,IEEE Digital Library,Study describing digital tabletop application that mentions the hardware used,Accepted,Front-Projected,Electrical-Based,"Multi-touch, Touch",Colaboração presencial,DiamondTouch,42”,10.1109/ICVR.2009.5174242
,Collaborative Puzzle Game: a tabletop interactive game for fostering collaboration in children with Autism Spectrum Disorders (ASD),2009,ACM Digital Library,Study describing digital tabletop application that mentions the hardware used,Accepted,Front-Projected,Electrical-Based,"Multi-touch, Touch",Colaboração presencial,DiamondTouch,42”,10.1145/1731903.1731940
,Communicative behaviors and flow experience in tabletop gaming,2009,Scopus,Study evaluating digital tabletop techniques,Accepted,Rear-Projected,Pen,Tangibility,Colaboração presencial,,55”,10.1145/1690388.1690436
