title,ano,source,selection_criteria,status,comments,Tecnologia do display,Tecnologia do input,Tipo de interação,Suporte à colaboração,Usa modelo com nome?,Tamanho da mesa,doi
GAINE — tanGible augmented interaction for edutainment,2015,IEEE Digital Library,Study describing digital tabletop techniques,Accepted,,Rear-Projected,Sensor-Assisted-Vision-Based,"Multi-touch, Tangibility, Touch",Colaboração presencial,,,
GeoGate: Correlating Geo-Temporal Datasets Using an Augmented Reality Space-Time Cube and Tangible Interactions,2019,IEEE Digital Library,Study describing digital tabletop techniques,Accepted,,"Embedded, Headset","Sensor-Assisted-Vision-Based, Tangible-Tokens","Multi-touch, Tangibility, Touch",Usuário único,,,10.1109/VR.2019.8797812
Gesture-Based Interactions on Multiple Large Displays with a Tabletop Interface,2007,Springer Link,Study describing digital tabletop techniques,Accepted,,Rear-Projected,"Sensor-Assisted-Vision-Based, Tangible-Tokens, Vision-Based","Multi-touch, Tangibility, Touch",Colaboração presencial,u-Table,59”,10.1007/978-3-540-73281-5_102
GestureAgents: an agent-based framework for concurrent multi-task multi-user interaction,2013,ACM Digital Library,Study describing digital tabletop application that mentions the hardware used,Accepted,,Rear-Projected,"Tangible-Tokens, Vision-Based","Gesture, Multi-touch, Tangibility, Touch",Colaboração presencial,ReacTable + Gesture,,10.1145/2460625.2460658
"Gestures as a ""creation"" mechanism for tabletop interfaces",2010,ACM Digital Library,Study describing digital tabletop application that mentions the hardware used,Accepted,,Rear-Projected,"Sensor-Assisted-Vision-Based, Vision-Based","Multi-touch, Touch",Colaboração presencial,Microsoft Surface,30”,10.1145/1842993.1843062
Gestures by Children and Adults on Touch Tables and Touch Walls in a Public Science Center,2016,ACM Digital Library,Study describing digital tabletop application that mentions the hardware used,Accepted,,Rear-Projected,Electrical-Based,"Multi-touch, Touch",Colaboração presencial,ideum 55 pro,"55""",10.1145/2930674.2930682
Getting sidetracked: Display design and occasioning photo-talk with the photohelix,2009,Scopus,Study describing digital tabletop application that mentions the hardware used,Accepted,,Rear-Projected,"Pen, Sensor-Assisted-Vision-Based, Tangible-Tokens, Vision-Based",Tangibility,Colaboração presencial,,,10.1145/1518701.1518967
GhostID: Enabling Non-Persistent User Differentiation in Frequency-Division Capacitive Multi-Touch Sensors,2017,ACM Digital Library,Study describing digital tabletop techniques,Accepted,,Front-Projected,Electrical-Based,Touch,Usuário único,,10”,10.1145/3025453.3025719
Group interaction on interactive multi-touch tables by children in India,2012,ACM Digital Library,Study evaluating digital tabletop techniques,Accepted,,Rear-Projected,Sensor-Assisted-Vision-Based,Multi-touch,Colaboração presencial,,50”,10.1145/2307096.2307131
Group Touch: Distinguishing Tabletop Users in Group Settings via Statistical Modeling of Touch Pairs,2017,ACM Digital Library,Study describing digital tabletop application that mentions the hardware used,Accepted,,Embedded,"Tangible-Tokens, Sensor-Assisted-Vision-Based","Multi-touch, Tangibility, Touch",Colaboração presencial,Samsung SUR40,40”,10.1145/3025453.3025793
Group vs Individual: Impact of TOUCH and TILT Cross-Device Interactions on Mixed-Focus Collaboration,2018,ACM Digital Library,Study describing digital tabletop application that mentions the hardware used,Accepted,,Embedded,Sensor-Assisted-Vision-Based,"Multi-touch, Touch",Colaboração presencial,,54”,10.1145/3173574.3173647
GSI demo: multiuser gesture/speech interaction over digital tables by wrapping single user applications,2006,ACM Digital Library,Study describing digital tabletop application that mentions the hardware used,Accepted,,Front-Projected,"Pen, Sound-Based, Electrical-Based","Gesture, Multi-touch, Speech, Tangibility, Touch",Colaboração presencial,DiamondTouch + Gesture + Speech,42”,10.1145/1180995.1181012
Guidelines to design tangible tabletop activities for children with attention deficit hyperactivity disorder,2019,Science@Direct,Study evaluating digital tabletop techniques,Accepted,,Rear-Projected,"Sensor-Assisted-Vision-Based, Tangible-Tokens, Vision-Based",Tangibility,Colaboração presencial,NIKVision,,https://doi.org/10.1016/j.ijhcs.2019.01.002
Hand gesture interaction using color-based method for tabletop interfaces,2011,IEEE Digital Library,Study describing digital tabletop techniques,Accepted,,Front-Projected,Vision-Based,"Gesture, Touch",Usuário único,,,10.1109/WISP.2011.6051717
Hand gesture recognition using contour based method for tabletop surfaces,2013,IEEE Digital Library,Study describing digital tabletop application that mentions the hardware used,Accepted,,Rear-Projected,Vision-Based,Gesture,Usuário único,,,10.1109/ICNSC.2013.6548846
Hands-on Maps — a Multi-touch Map Application in a Public Space,2013,Springer Link,Study describing digital tabletop application that mentions the hardware used,Accepted,,Embedded,"Sensor-Assisted-Vision-Based, Tangible-Tokens, Vision-Based","Multi-touch, Tangibility, Touch",Colaboração presencial,MultiTaction Cell Advanced (MT467),46”,10.1007/bf03546136
Haptic u-Table: A Believable Feedback System with a Quasi-tangible Tabletop Interface,2010,IEEE Digital Library,Study describing digital tabletop techniques,Accepted,,Rear-Projected,"Sensor-Assisted-Vision-Based, Tangible-Tokens, Vision-Based","Multi-touch, Tangibility, Touch",Colaboração presencial,u-Table,59”,10.1109/UIC-ATC.2010.21
Harnessing the benefits of bimanual and multi-finger input for supporting grouping tasks on interactive tabletops,2012,ACM Digital Library,Study evaluating digital tabletop techniques,Accepted,Microsoft Surface,Rear-Projected,"Sensor-Assisted-Vision-Based, Vision-Based","Multi-touch, Touch",Colaboração presencial,Microsoft Surface,30”,10.1145/2399016.2399091
Hexart: Smart Merged Touch Tables,2015,Springer Link,Study describing digital tabletop techniques,Accepted,,Rear-Projected,"Sensor-Assisted-Vision-Based, Vision-Based","Gesture, Multi-touch, Touch",Colaboração presencial,,,10.1007/978-3-319-26690-9_42
How do interactive tabletop systems influence collaboration?,2012,Science@Direct,Study describing digital tabletop application that mentions the hardware used,Accepted,,Front-Projected,Electrical-Based,"Multi-touch, Touch",Colaboração presencial,DiamondTouch,42”,https://doi.org/10.1016/j.chb.2011.08.010
How do preschoolers interact with peers? Characterising child and group behaviour in games with tangible interfaces in school,2022,Science@Direct,Study describing digital tabletop application that mentions the hardware used,Accepted,,Rear-Projected,"Sensor-Assisted-Vision-Based, Tangible-Tokens, Vision-Based",Tangibility,Colaboração presencial,NIKVision,,https://doi.org/10.1016/j.ijhcs.2022.102849
Hugin: A framework for awareness and coordination in mixed-presence collaborative information visualization,2010,Scopus,Study describing digital tabletop application that mentions the hardware used,Accepted,,Rear-Projected,"Sensor-Assisted-Vision-Based, Vision-Based","Multi-touch, Touch","Colaboração presencial, Colaboração remota",,,10.1145/1936652.1936694
Hxi: research down under in distributed intense collaboration between teams,2008,ACM Digital Library,Study evaluating digital tabletop techniques,Accepted,,Embedded,Sensor-Assisted-Vision-Based,Touch,Colaboração presencial,[braccetto] research platform,46’’,10.1145/1358628.1358906
Hyakunin-Eyesshu: a tabletop Hyakunin-Isshu game with computer opponent by the action prediction based on gaze detection,2011,ACM Digital Library,Study describing digital tabletop techniques,Accepted,,Front-Projected,"Eye-Tracking, Sensor-Assisted-Vision-Based, Vision-Based","Gaze, Multi-touch, Touch",Usuário único,,,10.1145/1983302.1983307
Hyperinteractive Evolutionary Computation,2011,IEEE Digital Library,Study describing digital tabletop application that mentions the hardware used,Accepted,“Asus Eee Top” touchscreen PC,Embedded,Electrical-Based,"Multi-touch, Touch",Colaboração presencial,Asus Eee Top,,10.1109/TEVC.2010.2096539
Immertable: a configurable and customizable tangible tabletop for audiovisual and musical control,2017,ACM Digital Library,Study describing digital tabletop techniques,Accepted,,Rear-Projected,"Sensor-Assisted-Vision-Based, Tangible-Tokens, Vision-Based","Multi-touch, Tangibility, Touch",Usuário único,Immertable,,10.1145/3123818.3123842
ImmertableApp: Interactive and Tangible Learning Music Environment,2016,Springer Link,Study describing digital tabletop techniques,Accepted,,Rear-Projected,"Sensor-Assisted-Vision-Based, Tangible-Tokens, Vision-Based","Tangibility, Touch",Usuário único,Immertable,,10.1007/978-3-319-39513-5_34
Implementation and evaluations of vision-based finger flicking gesture recognition for tabletops,2008,IEEE Digital Library,Study describing digital tabletop application that mentions the hardware used,Accepted,,Embedded,Vision-Based,Gesture,Colaboração presencial,,,10.1109/TABLETOP.2008.4660196
Implementing widgets using sifteo cubes for visual modelling on tangible user interfaces,2014,ACM Digital Library,Study describing digital tabletop application that mentions the hardware used,Accepted,Interessante falar que é modular,Rear-Projected,"Tangible-Tokens, Vision-Based","Multi-touch, Tangibility, Touch",Colaboração presencial,,60”,10.1145/2607023.2610271
Improving digital handoff in shared tabletop workspaces,2008,IEEE Digital Library,Study describing digital tabletop application that mentions the hardware used,Accepted,,Front-Projected,"Pen, Tangible-Tokens, Wearables",Tangibility,Colaboração presencial,,75”,10.1109/TABLETOP.2008.4660177
Improving digital handoff using the space above the table,2013,ACM Digital Library,Study describing digital tabletop application that mentions the hardware used,Accepted,,Embedded,"Electrical-Based, Vision-Based","Multi-touch, Touch",Colaboração presencial,,"60""",10.1145/2470654.2470758
Improving disaster response with multi-touch technologies,2007,IEEE Digital Library,Study describing digital tabletop application that mentions the hardware used,Accepted,,Front-Projected,Electrical-Based,"Multi-touch, Touch",Colaboração presencial,DiamondTouch,42”,10.1109/IROS.2007.4399558
Improving Menu Interaction for Cluttered Tabletop Setups with User-Drawn Path Menus,2007,IEEE Digital Library,Study evaluating digital tabletop techniques,Accepted,,Rear-Projected,Pen,Tangibility,Usuário único,,,10.1109/TABLETOP.2007.24
In-Situ Occlusion Resolution for Hybrid Tabletop Environments,2015,Springer Link,Study describing digital tabletop techniques,Accepted,,"Embedded, Front-Projected","Sensor-Assisted-Vision-Based, Vision-Based","Gesture, Multi-touch, Touch",Colaboração presencial,,,10.1007/978-3-319-22698-9_18
"IncreTable, a mixed reality tabletop game experience",2008,ACM Digital Library,Study describing digital tabletop application that mentions the hardware used,Accepted,,"Rear-Projected, Front-Projected","Pen, Tangible-Tokens, Vision-Based",Tangibility,Colaboração presencial,,,10.1145/1501750.1501753
Individual audio channels with single display groupware: effects on communication and task strategy,2004,ACM Digital Library,Study describing digital tabletop application that mentions the hardware used,Accepted,,Front-Projected,Electrical-Based,"Multi-touch, Touch",Colaboração presencial,DiamondTouch,42”,10.1145/1031607.1031646
InfrActables: Multi-User Tracking System for Interactive Surfaces,2006,IEEE Digital Library,Study describing digital tabletop techniques,Accepted,,Rear-Projected,"Pen, Sensor-Assisted-Vision-Based",Tangibility,Colaboração presencial,,,10.1109/VR.2006.86
Instruction pictograms for experience-based displays and their use cases,2022,Science@Direct,Study describing digital tabletop application that mentions the hardware used,Accepted,,Front-Projected,Vision-Based,Gesture,Usuário único,,,https://doi.org/10.1016/j.entcom.2022.100503
Integrating Point and Touch for Interaction with Digital Tabletop Displays,2006,IEEE Digital Library,Study describing digital tabletop techniques,Accepted,,Front-Projected,Pen,Tangibility,Usuário único,,,10.1109/MCG.2006.110
Interacting with mouse and touch devices on horizontal interactive displays,2012,Scopus,Study evaluating digital tabletop techniques,Accepted,,Embedded,Sensor-Assisted-Vision-Based,Touch,Colaboração presencial,[braccetto] research platform,46’’,10.1007/s10209-011-0238-8
Interaction on the Tabletop: Bringing the Physical to the Digital,2010,Springer Link,Study evaluating digital tabletop techniques,Accepted,,Rear-Projected,Sensor-Assisted-Vision-Based,Touch,Colaboração presencial,SMART Board,,10.1007/978-1-84996-113-4_9
Interaction techniques for the analysis of complex data on high-resolution displays,2008,ACM Digital Library,Study describing digital tabletop application that mentions the hardware used,Accepted,,Rear-Projected,"Sound-Based, Sensor-Assisted-Vision-Based, Tangible-Tokens, Vision-Based","Gesture, Speech, Tangibility",Colaboração presencial,,83”,10.1145/1452392.1452399
Interactions around a Multi-touch Tabletop: A Rapid Ethnographic Study in a Museum,2014,Springer Link,Study evaluating digital tabletop techniques,Accepted,,Rear-Projected,"Sensor-Assisted-Vision-Based, Vision-Based","Multi-touch, Touch",Colaboração presencial,Microsoft Surface,30”,10.1007/978-3-319-07638-6_42
Interactive 360-Degree Glasses-Free Tabletop 3D Display,2019,ACM Digital Library,Study describing digital tabletop techniques,Accepted,,Front-Projected,"Eye-Tracking, Electrical-Based","Multi-touch, Touch",Colaboração presencial,,,10.1145/3332165.3347948
Interactive audio-tactile maps for visually impaired people,2015,ACM Digital Library,Study describing digital tabletop application that mentions the hardware used,Accepted,,Embedded,Electrical-Based,"Multi-touch, Touch",Colaboração presencial,M2256PW,,10.1145/2850440.2850441
Interactive Coupling of Process Models: A Distributed Tabletop Approach to Collaborative Modeling,2014,ACM Digital Library,Study describing digital tabletop techniques,Accepted,,Rear-Projected,"Tangible-Tokens, Vision-Based","Multi-touch, Tangibility, Touch","Colaboração presencial, Usuário único",,,10.1145/2637248.2637262
Interactive multi-user video retrieval systems,2011,Springer Link,Study describing digital tabletop application that mentions the hardware used,Accepted,,Embedded,"Sensor-Assisted-Vision-Based, Vision-Based","Multi-touch, Touch",Colaboração presencial,,,10.1007/s11042-011-0888-9
Interactive tabletops with non-interactive rims,2010,Scopus,Study evaluating digital tabletop techniques,Accepted,,Embedded,Electrical-Based,"Multi-touch, Touch",Colaboração presencial,,46”,10.1145/1952222.1952285
Interactive Tree Comparison for Co-located Collaborative Information Visualization,2007,IEEE Digital Library,Study describing digital tabletop techniques,Accepted,,Rear-Projected,Sensor-Assisted-Vision-Based,Touch,Colaboração presencial,SMART Board,,10.1109/TVCG.2007.70568
Interfering and resolving: How tabletop interaction facilitates co-construction of argumentative knowledge,2010,Springer Link,Study describing digital tabletop techniques,Accepted,,Rear-Projected,"Tangible-Tokens, Vision-Based","Multi-touch, Tangibility, Touch",Colaboração presencial,reacTable,,10.1007/s11412-010-9101-9
Interview approaches to researching embodiment,2013,ACM Digital Library,Study evaluating digital tabletop techniques,Accepted,,Rear-Projected,"Sensor-Assisted-Vision-Based, Tangible-Tokens",Tangibility,Colaboração presencial,LightTable,,10.1145/2470654.2481402
Introducing the Smart City to Children with a Tangible Interaction Table: Expliquer la ville intelligente aux enfants avec une table d’interaction tangible,2022,ACM Digital Library,Study describing digital tabletop application that mentions the hardware used,Accepted,,Front-Projected,Tangible-Tokens,Tangibility,Colaboração presencial,,,10.1145/3451148.3458645
Investigating menu discoverability on a digital tabletop in a public setting,2012,ACM Digital Library,Study describing digital tabletop application that mentions the hardware used,Accepted,,Embedded,Electrical-Based,Multi-touch,Colaboração presencial,SMART Table,28”,10.1145/2396636.2396647
Investigating one-handed and two-handed inter-device interaction,2017,Science@Direct,Study describing digital tabletop application that mentions the hardware used,Accepted,,"Embedded, Multi-Device","Tangible-Tokens, Sensor-Assisted-Vision-Based","Multi-touch, Tangibility, Touch",Colaboração presencial,Samsung SUR40 + Tablet,40”,https://doi.org/10.1016/j.jvlc.2017.07.001
Investigating Paradigms of Group Territory in Multiple Display Environments,2020,ACM Digital Library,Study describing digital tabletop application that mentions the hardware used,Accepted, 55’ Microsoft multi-touch display,Embedded,Electrical-Based,"Multi-touch, Touch",Colaboração presencial,Microsoft Perceptive Pixel,"55""",10.1145/3375193
Investigating Pointing Tasks across Angularly Coupled Display Areas,2013,Springer Link,Study evaluating digital tabletop techniques,Accepted,,Rear-Projected,"Sensor-Assisted-Vision-Based, Vision-Based",Touch,Usuário único,,,10.1007/978-3-642-40483-2_50
Investigating Separation of Territories and Activity Roles in Children's Collaboration around Tabletops,2018,ACM Digital Library,Study describing digital tabletop application that mentions the hardware used,Accepted,,Embedded,"Tangible-Tokens, Sensor-Assisted-Vision-Based","Multi-touch, Tangibility, Touch",Colaboração presencial,Samsung SUR40,40”,10.1145/3274454
Investigating Temporal-Spatial Characteristics of Mouse and Touch Input,2009,Springer Link,Study evaluating digital tabletop techniques,Accepted,,Embedded,Sensor-Assisted-Vision-Based,Touch,Colaboração presencial,[braccetto] research platform,46’’,10.1007/978-3-642-03655-2_72
Investigation of fingertip blobs on optical multi-touch screen,2010,IEEE Digital Library,Study describing digital tabletop techniques,Accepted,,Rear-Projected,"Sensor-Assisted-Vision-Based, Vision-Based","Multi-touch, Touch",Colaboração presencial,,,10.1109/ITSIM.2010.5561307
Is the Writing on the Wall for Tabletops?,2009,Springer Link,Study describing digital tabletop application that mentions the hardware used,Accepted,,Front-Projected,Electrical-Based,"Multi-touch, Touch",Colaboração presencial,DiamondTouch,42”,10.1007/978-3-642-03658-3_17
It's just a toolbar! using tangibles to help children manage conflict around a multi-touch tabletop,2010,ACM Digital Library,Study describing digital tabletop application that mentions the hardware used,Accepted,microsoft surface,Rear-Projected,"Sensor-Assisted-Vision-Based, Vision-Based","Multi-touch, Touch",Colaboração presencial,Microsoft Surface,30”,10.1145/1935701.1935709
Jamming user interfaces: programmable particle stiffness and sensing for malleable and shape-changing devices,2012,ACM Digital Library,Study describing digital tabletop techniques,Accepted,"Muito não ortodoxo, a mesa é feita de um material maleavel.",Rear-Projected,Sensor-Assisted-Vision-Based,"Multi-touch, Tangibility, Touch",Usuário único,,,10.1145/2380116.2380181
"Kawalu\""{u}: Macro Environment for Collaborative Surface with Dynamic Parameters using Tangible Objects",2018,ACM Digital Library,Study describing digital tabletop techniques,Accepted,,Front-Projected,"Pen, Sensor-Assisted-Vision-Based, Tangible-Tokens, Vision-Based",Tangibility,Colaboração presencial,,,10.1145/3170427.3188463
Keeping up appearances: interpretation of tangible artifact design,2008,ACM Digital Library,Study describing digital tabletop application that mentions the hardware used,Accepted,,Rear-Projected,Tangible-Tokens,Tangibility,Colaboração presencial,,,10.1145/1463160.1463178
Ketsuro-Graffiti: An Interactive Display with Water Condensation,2016,ACM Digital Library,Study describing digital tabletop techniques,Accepted,,Embedded,Electrical-Based,Touch,Usuário único,,,10.1145/2992154.2992159
KitVision toolkit: supporting the creation of cognitive activities for tangible tabletop devices,2019,Springer Link,Study describing digital tabletop techniques,Accepted,,Rear-Projected,"Sensor-Assisted-Vision-Based, Tangible-Tokens, Vision-Based",Tangibility,Colaboração presencial,NIKVision,,10.1007/s10209-019-00644-3
LaserFoot: 6-DOF Tracking method over an Optical Touchscreen,2016,ACM Digital Library,Study evaluating digital tabletop techniques,Accepted,,Rear-Projected,"Sensor-Assisted-Vision-Based, Vision-Based","Multi-touch, Touch",Colaboração presencial,Microsoft Surface,30”,10.17210/hcik.2016.01.74
Learning basic concept of computer programming with path-finding task in ar and its properties,2021,Springer Link,Study describing digital tabletop application that mentions the hardware used,Accepted,,Headset,"Sensor-Assisted-Vision-Based, Vision-Based",Gesture,Usuário único,Microsoft HoloLens,,10.1007/s10639-020-10416-9
Learning Environment based on an Interactive Projection Table for Children,2021,IEEE Digital Library,Study describing digital tabletop techniques,Accepted,,Front-Projected,"Sensor-Assisted-Vision-Based, Vision-Based",Tangibility,Colaboração presencial,,,10.1109/AIVR52153.2021.00026
Learning extended writing: designing for children's collaboration,2013,ACM Digital Library,Study describing digital tabletop application that mentions the hardware used,Accepted,,Front-Projected,Pen,Tangibility,Colaboração presencial,Promethean ActivBoard,,10.1145/2485760.2485765
"Lessons learned from the WILD room, a multisurface interactive environment",2011,ACM Digital Library,Study describing digital tabletop application that mentions the hardware used,Accepted,,Embedded,Sensor-Assisted-Vision-Based,"Multi-touch, Touch",Colaboração presencial,IntuiFace multitouch,45”,10.1145/2044354.2044376
Let the experts talk: An experience of tangible game design with children,2010,Scopus,Study describing digital tabletop application that mentions the hardware used,Accepted,,Rear-Projected,"Sensor-Assisted-Vision-Based, Tangible-Tokens, Vision-Based",Tangibility,Colaboração presencial,NIKVision,,10.1145/1649475.1649490
Let's jam the reactable: Peer learning during musical improvisation with a tabletop tangible interface,2013,ACM Digital Library,Study describing digital tabletop application that mentions the hardware used,Accepted,,Rear-Projected,"Tangible-Tokens, Vision-Based","Multi-touch, Tangibility, Touch",Colaboração presencial,reacTable,,10.1145/2530541
Localisation and Interaction for Augmented Maps,2005,ACM Digital Library,Study evaluating digital tabletop techniques,Accepted,,Front-Projected,"Tangible-Tokens, Vision-Based",Tangibility,Colaboração presencial,,,10.1109/ISMAR.2005.39
Low-fidelity prototyping with simple collaborative tabletop computer-aided design systems,2018,Science@Direct,Study describing digital tabletop techniques,Accepted,,Front-Projected,"Sensor-Assisted-Vision-Based, Tangible-Tokens, Vision-Based","Tangibility, Touch",Colaboração presencial,InitialInsights,,https://doi.org/10.1016/j.cag.2017.07.026
MakeBronze: An interactive system to promote Chinese bronze culture in children through hands-on experience with lost-wax casting,2024,Science@Direct,Study describing digital tabletop techniques,Accepted,,Front-Projected,Pen,Tangibility,Usuário único,,,https://doi.org/10.1016/j.ijhcs.2023.103201
Management of distributed collaborative learning environments based on a concept map paradigm and natural interfaces,2013,IEEE Digital Library,Study describing digital tabletop application that mentions the hardware used,Accepted,,Front-Projected,Vision-Based,"Multi-touch, Touch",Colaboração presencial,,,10.1109/FIE.2013.6685084
Management of Distributed RFID Surfaces: A Cooking Assistant for Ambient Computing in Kitchen,2014,Science@Direct,Study describing digital tabletop techniques,Accepted,,Embedded,Tangible-Tokens,Tangibility,Usuário único,,,https://doi.org/10.1016/j.procs.2014.05.393
Mapping Place: Supporting Cultural Learning through a Lukasa-inspired Tangible Tabletop Museum Exhibit,2015,ACM Digital Library,Study describing digital tabletop application that mentions the hardware used,Accepted,,Embedded,"Sensor-Assisted-Vision-Based, Tangible-Tokens, Vision-Based",Multi-touch,Colaboração presencial,,,10.1145/2677199.2680559
MapTable: a tactical command and control interface,2006,ACM Digital Library,Study describing digital tabletop application that mentions the hardware used,Accepted,,Rear-Projected,Sensor-Assisted-Vision-Based,Touch,Colaboração presencial,SMART Board,,10.1145/1111449.1111515
MARIO: Mid-Air Augmented RealityInteraction with Objects,2013,Springer Link,Study describing digital tabletop techniques,Accepted,,Front-Projected,"Sensor-Assisted-Vision-Based, Vision-Based","Gesture, Tangibility",Usuário único,,,10.1007/978-3-319-03161-3_53
Material interactions with tangible tabletops: A pragmatist perspective,2014,Scopus,Study describing digital tabletop techniques,Accepted,,Rear-Projected,"Tangible-Tokens, Vision-Based",Tangibility,"Colaboração presencial, Usuário único",Radar Table,52”,10.1145/2639189.2639200
Media Crate: tangible live media production interface,2009,ACM Digital Library,Study describing digital tabletop application that mentions the hardware used,Accepted,,Rear-Projected,Vision-Based,"Multi-touch, Tangibility, Touch",Usuário único,,,10.1145/1517664.1517718
Mediating Group Dynamics through Tabletop Interface Design,2006,IEEE Digital Library,Study evaluating digital tabletop techniques,Accepted,,Front-Projected,Electrical-Based,"Multi-touch, Touch",Colaboração presencial,DiamondTouch,42”,10.1109/MCG.2006.114
"Mine, Yours, Ours: Coordination through Workspace Arrangements and Territoriality in Tabletop Interaction",2018,ACM Digital Library,Study describing digital tabletop application that mentions the hardware used,Accepted,,Embedded,Electrical-Based,"Multi-touch, Touch",Colaboração presencial,,65”,10.1145/3282894.3282902
MisTable: Reach-through personal screens for tabletops,2014,Scopus,Study describing digital tabletop techniques,Accepted,,"Rear-Projected, Front-Projected","Sensor-Assisted-Vision-Based, Vision-Based","Gesture, Multi-touch, Touch",Colaboração presencial,,,10.1145/2556288.2557325
Mixed reality based interaction system for digital heritage,2016,ACM Digital Library,Study describing digital tabletop application that mentions the hardware used,Accepted,,Front-Projected,"Sensor-Assisted-Vision-Based, Tangible-Tokens",Tangibility,Colaboração presencial,,107”,10.1145/3013971.3014000
MobiTop: Interactivity Issues in a Multi-Mobile System,2016,ACM Digital Library,Study describing digital tabletop techniques,Accepted,,"Embedded, Multi-Device",Electrical-Based,"Multi-touch, Touch",Colaboração presencial,,,10.1145/2898459.2898467
MoClo planner: Interactive visualization for Modular Cloning bio-design,2013,IEEE Digital Library,Study describing digital tabletop application that mentions the hardware used,Accepted,,Embedded,"Tangible-Tokens, Sensor-Assisted-Vision-Based","Multi-touch, Tangibility, Touch",Colaboração presencial,Samsung SUR40,40”,10.1109/BioVis.2013.6664347
Mojo iCuisine: The Design and Implementation of an Interactive Restaurant Tabletop Menu,2011,Springer Link,Study describing digital tabletop techniques,Accepted,,Front-Projected,Electrical-Based,Touch,Colaboração presencial,,,10.1007/978-3-642-21616-9_21
Motivating arm-hand use for stroke patients by serious games.,2012,Scopus,Study describing digital tabletop application that mentions the hardware used,Accepted,,Embedded,"Sensor-Assisted-Vision-Based, Vision-Based, Wearables","Tangibility, Touch",Usuário único,,,
"Move, Beam, and Check! Imagineering Tangible Optical Chess on An Interactive Tabletop Display",2010,ACM Digital Library,Study describing digital tabletop application that mentions the hardware used,Accepted,,Rear-Projected,Sensor-Assisted-Vision-Based,"Multi-touch, Tangibility, Touch",Colaboração presencial,TTT (Tangible Tracking Table),,10.1145/1902593.1902599
MovemenTable: The Design of Moving Interactive Tabletops,2015,Springer Link,Study describing digital tabletop techniques,Accepted,,Rear-Projected,"Sensor-Assisted-Vision-Based, Vision-Based","Multi-touch, Touch",Colaboração presencial,,,10.1007/978-3-319-22698-9_19
MP Remix: Relaxed WYSIWIS Immersive Interfaces for Mixed Presence Collaboration With 3D Content,2019,ACM Digital Library,Study describing digital tabletop techniques,Accepted,,"Embedded, Headset",Electrical-Based,"Multi-touch, Touch","Colaboração presencial, Colaboração remota",,,10.1145/3359207
MTi: A method for user identification for multitouch displays,2013,Science@Direct,Study describing digital tabletop application that mentions the hardware used,Accepted,,Embedded,"Tangible-Tokens, Sensor-Assisted-Vision-Based","Multi-touch, Tangibility, Touch",Colaboração presencial,Samsung SUR40,40”,https://doi.org/10.1016/j.ijhcs.2013.03.002
Multi-tabletop System to Support Collaborative Design Assessment,2015,Springer Link,Study describing digital tabletop techniques,Accepted,,"Multi-Device, Front-Projected","Pen, Sensor-Assisted-Vision-Based, Vision-Based",Tangibility,Colaboração presencial,,,10.1007/978-3-319-26285-7_23
Multi-user interface and interactions on direct-touch horizontal surfaces: collaborative tabletop research at MERL,2006,IEEE Digital Library,Study evaluating digital tabletop techniques,Accepted,,Front-Projected,Electrical-Based,"Multi-touch, Touch",Colaboração presencial,DiamondTouch,42”,10.1109/TABLETOP.2006.22
Multi-view is useful for more accurate understanding of object in a virtual soccer field,2013,IEEE Digital Library,Study describing digital tabletop application that mentions the hardware used,Accepted,,Front-Projected,Electrical-Based,"Multi-touch, Touch",Colaboração presencial,DiamondTouch,42”,10.1109/CSCWD.2013.6580988
Multimedia Framework for Application of Spatial Auditory Information to Learning Materials,2013,Springer Link,Study describing digital tabletop techniques,Accepted,,Front-Projected,"Sensor-Assisted-Vision-Based, Vision-Based","Multi-touch, Touch",Colaboração presencial,,,10.1007/978-3-642-37134-9_13
Multimodal multiplayer tabletop gaming,2007,ACM Digital Library,Study describing digital tabletop application that mentions the hardware used,Accepted,,Front-Projected,Electrical-Based,"Multi-touch, Touch",Colaboração presencial,DiamondTouch,42”,10.1145/1279540.1279552
Multimodal Segmentation on a Large Interactive Tabletop: Extending Interaction on Horizontal Surfaces with Gaze,2016,ACM Digital Library,Study describing digital tabletop techniques,Accepted,,Front-Projected,"Eye-Tracking, Vision-Based","Gaze, Multi-touch, Touch",Usuário único,,45”,10.1145/2992154.2992179
Multimodal Split View Tabletop Interaction Over Existing Applications,2007,IEEE Digital Library,Study describing digital tabletop application that mentions the hardware used,Accepted,,Front-Projected,Electrical-Based,"Multi-touch, Touch",Colaboração presencial,DiamondTouch,42”,10.1109/TABLETOP.2007.21
"MultiSpace: enabling electronic document micro-mobility in table-centric, multi-device environments",2006,IEEE Digital Library,Study describing digital tabletop techniques,Accepted,,Front-Projected,Electrical-Based,"Multi-touch, Touch",Colaboração presencial,DiamondTouch,42”,10.1109/TABLETOP.2006.23
Music browsing using a tabletop display,2007,Scopus,Study describing digital tabletop application that mentions the hardware used,Accepted,,Front-Projected,Electrical-Based,"Multi-touch, Touch",Colaboração presencial,DiamondTouch,42”,
Nervixxx: A Video Performance System with Neural Interfaces,2009,IEEE Digital Library,Study describing digital tabletop techniques,Accepted,,Rear-Projected,"Tangible-Tokens, Wearables",Tangibility,Usuário único,,,10.1109/ACHI.2009.63
