bibtex_key,title,author,journal,year,source,pages,volume,abstract,document_type,doi,url,affiliation,author_keywords,keywords,publisher,issn,language,note,selection_criteria,created_at,updated_at,created_by,updated_by,status,comments
,Interfering and resolving: How tabletop interaction facilitates co-construction of argumentative knowledge,"Pontual Falcão, Taciana and Price, Sara",International Journal of Computer-Supported Collaborative Learning,2010,Springer Link,539–559,6,None,,10.1007/s11412-010-9101-9,http://dx.doi.org/10.1007/s11412-010-9101-9,,,,Springer Science and Business Media LLC,1556-1615,,,Study describing digital tabletop techniques,45770.6538078704,45799.5969444444,gmfreitas,gmfreitas,Accepted,
,“Whoa! We’re going deep in the trees!”: Patterns of collaboration around an interactive information visualization exhibit,"Davis, Pryce and Horn, Michael and Block, Florian and Phillips, Brenda and Evans, E. Margaret and Diamond, Judy and Shen, Chia",International Journal of Computer-Supported Collaborative Learning,2015,Springer Link,53–76,10,None,,10.1007/s11412-015-9209-z,http://dx.doi.org/10.1007/s11412-015-9209-z,,,,Springer Science and Business Media LLC,1556-1615,,,Articles that omits the tabletop technique,45770.6537962963,45797.5281712963,gmfreitas,gmfreitas,Rejected,
,Tangible Map: Designing and Assessing Spatial Information Retrieval Through a Tactile Interface,"Leon, Kimberly and Walker, Will and Lim, Yihyun and Penman, Scott and Colombo, Sara and Casalegno, Federico",,2019,Springer Link,329–340,,None,,10.1007/978-3-030-22636-7_24,http://dx.doi.org/10.1007/978-3-030-22636-7_24,,,,Springer International Publishing,1611-3349,,,Study describing digital tabletop techniques,45770.6537962963,45796.7423611111,gmfreitas,gmfreitas,Accepted,
,Supporting casual interactions between board games on public tabletop displays and mobile devices,"Echtler, Florian and Nestler, Simon and Dippon, Andreas and Klinker, Gudrun",Personal and Ubiquitous Computing,2009,Scopus,609 – 617,13,"As more interactive surfaces enter public life, casual interactions from passersby are bound to increase. Most of these users can be expected to carry a mobile phone or PDA, which nowadays offers significant computing capabilities of its own. This offers new possibilities for interaction between these users' private displays and large public ones. In this paper, we present a system that supports such casual interactions. We first explore a method to track mobile phones that are placed on a horizontal interactive surface by examining the shadows which are cast on the surface. This approach detects the presence of a mobile device, as opposed to any other opaque object, through the signal strength emitted by the built-in Bluetooth transceiver without requiring any modifications to the devices' software or hardware. We then go on to investigate interaction between a Sudoku game running in parallel on the public display and on mobile devices carried by passing users. Mobile users can join a running game by placing their devices on a designated area. The only requirement is that the device is in discoverable Bluetooth mode. After a specific device has been recognized, a client software is sent to the device which then enables the user to interact with the running game. Finally, we explore the results of a study which we conducted to determine the effectiveness and intrusiveness of interactions between users on the tabletop and users with mobile devices. © Springer-Verlag London Limited 2009.",Conference paper,10.1007/s00779-009-0246-3,https://www.scopus.com/inward/record.uri?eid=2-s2.0-70349992955&doi=10.1007%2fs00779-009-0246-3&partnerID=40&md5=2dcb0ca04b61d699a57710d8139c2cc4,,,,,,,Cited by: 25,Study describing digital tabletop techniques,45770.6341087963,45795.7981597222,gmfreitas,gmfreitas,Accepted,
,Storage bins: Mobile storage for collaborative tabletop displays,"Scott, Stacey D. and Carpendale, M. Sheelagh T. and Habelski, Stefan",IEEE Computer Graphics and Applications,2005,Scopus,58 – 65,25,"To facilitate storage behavior in a digital tabletop workspace, the storage bin mobile storage mechanism was developed which combines the space-preserving feature of existing peripheral storage mechanisms with the capability to relocate stored items in the workspace. An exploratory user study was conducted to investigate the usability of storage bins, gather design information, and understand the advantages and disadvantages of mobile and peripheral storage mechanisms. Six pairs of university students performed a collaborative photo layout task on the digital tabletop, containing either storage bins or a peripheral storage area that spanned the perimeter of the tabletop workspace. Results suggest that interface tools like storage bins must be flexible enough to support the evolving needs of a group task, and that tabletop interfaces must support the numerous individual and collaborative approaches used to complete a group task.",Article,10.1109/MCG.2005.86,https://www.scopus.com/inward/record.uri?eid=2-s2.0-22944431827&doi=10.1109%2fMCG.2005.86&partnerID=40&md5=5883338a81e095066f913d1d52578065,,,,,,,"Cited by: 42; All Open Access, Green Open Access",Study describing digital tabletop application that mentions the hardware used,45770.6340972222,45795.7951041667,gmfreitas,gmfreitas,Accepted,
,Believable interaction with a quasi-tangible tabletop interface,"Lee, Jangho and Lee, Jun and Kim, HyungSeok and Kim, Jee-In",Computer Animation and Virtual Worlds,2007,Scopus,121 – 132,18,"In this paper, we present a believable interaction mechanism for manipulation multiple objects in ubiquitous/augmented virtual environment. A believable interaction in multimodal framework is defined as a persistent and consistent process according to contextual experiences and common-senses on the feedbacks. We present a tabletop interface as a quasi-tangible framework to provide believable processes. An enhanced tabletop interface is designed to support multimodal environment. As an exemplar task, we applied the concept to fast accessing and manipulating distant objects. A set of enhanced manipulation mechanisms is presented for remote manipulations including inertial widgets, transformable tabletop, and proxies. The proposed method is evaluated in both performance and user acceptability in comparison with previous approaches. The proposed technique uses intuitive hand gestures and provides higher level of believability. It can also support other types of accessing techniques such as browsing and manipulation. Copyright © 2007 John Wiley & Sons, Ltd.",Article,10.1002/cav.167,https://www.scopus.com/inward/record.uri?eid=2-s2.0-34248578416&doi=10.1002%2fcav.167&partnerID=40&md5=b2f1ce047aeda2ab46e494122f4ea28b,,,,,,,Cited by: 4,Study evaluating digital tabletop techniques,45770.6340972222,45795.7744444445,gmfreitas,gmfreitas,Accepted,
,Tables in the wild: Lessons learned from a large-scale multi-tabletop deployment,"Kharrufa, Ahmed and Balaam, Madeline and Heslop, Phil and Leat, David and Dolan, Paul and Olivier, Patrick",Conference on Human Factors in Computing Systems - Proceedings,2013,Scopus,1021 – 1030,,"This paper presents the results and experiences of a six-week deployment of multiple digital tabletops in a school. Dillenbourg's orchestration framework was used both to guide the design and analysis of the study. Four themes, which directly relate to the design of the technology for the classroom, out of the 15 orchestration factors are considered. For each theme, we present our design choices, the relevant observations, feedback from teachers and students, and we conclude with a number of lessons learned in the form of design recommendations. The distinguishing factors of our study are its scale (in terms of duration, number of classes, subjects, and teachers), and its 'in-the-wild'character, with the entire study being conducted in a school, led by the teachers, and using teacher-prepared, curriculum-based tasks. Our primary contributions are the analysis of our observations and design recommendations for future multi-tabletop applications designed for and deployed within the classroom. Our analyses and recommendations meaningfully extend HCI's current design understandings of such settings. Copyright © 2013 ACM.",Conference paper,10.1145/2470654.2466130,https://www.scopus.com/inward/record.uri?eid=2-s2.0-84877985600&doi=10.1145%2f2470654.2466130&partnerID=40&md5=a534db1a11366e8beb89143360b9a13a,,,,,,,Cited by: 31,Study evaluating digital tabletop techniques,45770.6340972222,45793.8800925926,gmfreitas,gmfreitas,Accepted,SMART tables
,Poster: Overtop: Breaking the boundaries of tangible tabletop environments,"Riemann, Jan and Funk, Markus and Schmitz, Martin and Meurisch, Christian and Mühlhäuser, Max",UbiComp/ISWC 2018 - Adjunct Proceedings of the 2018 ACM International Joint Conference on Pervasive and Ubiquitous Computing and Proceedings of the 2018 ACM International Symposium on Wearable Computers,2018,Scopus,231 – 234,,"Tabletop computers have been set out to change the way people work by providing a display on the table surface. Still they're only flat displays with digital content behind a glass screen. Tangibles extended the interface into the third dimension. However, the content still sticks mostly to the screen or is projected onto rigid objects. In this work, we present OverTop, a concept for providing a full three-dimensional interaction experience for both content and interface. We introduce three different layers, where both content and interfaces can be presented: Below, On, and Above. Using these three layers, OverTop extends the design space of tabletop interfaces to the area above traditional tabletop workplaces, opening up new interaction and visualization possibilities. © Copyright held by the owner/author(s).",Conference paper,10.1145/3267305.3267559,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85058294432&doi=10.1145%2f3267305.3267559&partnerID=40&md5=2edff9deb9e419eda36611779e3bd488,,,,,,,Cited by: 3,Study describing digital tabletop techniques,45770.6340972222,45793.7987962963,gmfreitas,gmfreitas,Accepted,
,StoryCrate: Tabletop storyboarding for live film production,"Bartindale, Tom and Sheikh, Alia and Taylor, Nick and Wright, Peter and Olivier, Patrick",Conference on Human Factors in Computing Systems - Proceedings,2012,Scopus,169 – 178,,"Creating film content for broadcast is a high pressure and complex activity involving multiple experts and highly specialized equipment. Production teams are under continuous pressure to produce ever more creative and groundbreaking content while reducing the budgets and human resources required. While technologies are being developed for digitizing and streamlining sections of the production workflow, a gap remains between creative decisions made on location, and those made during digital editing and post-production. We describe a prototype tangible, tabletop interface to be deployed on a film shoot, which uses a storyboard as a shared data representation to drive team creativity. We define creativity in terms of team production, discuss our implementation and describe a deployment in which the prototype was used by a professional production team during a film shoot. Finally we describe a number of interesting interactions that were observed and consider the implications of our design decisions on the creative process of film making and the benefits of tangible, tabletop collaborative interactive displays in live film production. Copyright 2012 ACM.",Conference paper,10.1145/2207676.2207700,https://www.scopus.com/inward/record.uri?eid=2-s2.0-84862095031&doi=10.1145%2f2207676.2207700&partnerID=40&md5=a44125c6a203c8889c4b62a97ff1bffb,,,,,,,Cited by: 11,Study describing digital tabletop techniques,45770.6340856482,45793.7690277778,gmfreitas,gmfreitas,Accepted,
,Investigating one-handed and two-handed inter-device interaction,Zheng Huang and Jed Limke and Jun Kong,Journal of Visual Languages & Computing,2017,Science@Direct,1-12,42,"Using a mobile device together with a large shared screen supports collaborative tasks and potentially prevents interference among users. In order to evaluate the usability of inter-device interaction, this paper compared two fundamental inter-device interaction styles, i.e., one-handed and two-handed interaction. The one-handed interaction style only uses one hand to select an object from a large display device while the two-handed interaction style needs the cooperation of two hands to realize a selection. A framework was developed to implement these two interaction styles. Based on the framework, a pretest-posttest, repeated-measures study was conducted to compare their differences. All participants went through eight tasks, which were differentiated by both the selection order (sequential or random order) and the density level (sparse or dense layout), using both interaction styles. During the study, both the completion time and the error rate in each task with each interaction style were recorded. In addition, the IBM Post-Study Usability Questionnaire (PSSUQ) was used to evaluate the subjective satisfaction on each interaction style. The overall PSSUQ score indicates that both interaction styles receive positive feedback with high user satisfaction. The study also revealed that the one-handed interaction took less time to complete tasks (i.e., more efficient) than the two-handed interaction, while the two-handed interaction style had a lower error rate than the one-handed interaction, and especially so in a dense layout.",,https://doi.org/10.1016/j.jvlc.2017.07.001,https://www.sciencedirect.com/science/article/pii/S1045926X17300307,,,,,1045-926X,,,Study describing digital tabletop application that mentions the hardware used,45770.6323611111,45793.6049189815,gmfreitas,gmfreitas,Accepted,
,TAPAS: A tangible End-User Development tool supporting the repurposing of Pervasive Displays,Tommaso Turchi and Alessio Malizia and Alan Dix,Journal of Visual Languages & Computing,2017,Science@Direct,66-77,39,"These days we are witnessing a spread of many new digital systems in public spaces featuring easy to use and engaging interaction modalities, such as multi-touch, gestures, tangible, and voice. This new user-centered paradigm — known as the NUI — aims to provide a more natural and rich experience to end users; this supports its adoption in many ubiquitous domains, as it naturally holds for Pervasive Displays: these systems are composed of variously-sized displays and support many-to-many interactions with the same public screens at the same time. Due to their public and moderated nature, users need an easy way of adapting them to heterogeneous usage contexts in order to support their long-term adoption. In this paper, we propose an End-User Development approach to this problem introducing TAPAS, a system that combines a tangible interaction with a puzzle metaphor, allowing users to create workflows on a Pervasive Display to satisfy their needs; its design and visual syntax stem from a study we carried out with designers, whose findings are also part of this work. We then carried out a preliminary evaluation of our system with second year university students and interaction designers, gathering useful feedback to improve TAPAS and employ it in many other domains.",,https://doi.org/10.1016/j.jvlc.2016.11.002,https://www.sciencedirect.com/science/article/pii/S1045926X16302191,,,"End-User Development, Tangible User Interface, Natural User Interface, Pervasive Displays, Tangible Programming",,1045-926X,,Special Issue on Programming and Modelling Tools,Study describing digital tabletop techniques,45770.6323611111,45793.5765625,gmfreitas,gmfreitas,Accepted,
,Construction defect management using a telematic digital workbench,Andy Dong and Mary Lou Maher and Mi Jeong Kim and Ning Gu and Xiangyu Wang,Automation in Construction,2009,Science@Direct,814-824,18,"Real-time, rich-media data communication between the construction site and the off-site design office is becoming one of the important research areas in information technology for construction. This paper presents the concept of a telematic digital workbench, a horizontal tabletop user interface integrating mobile computing and wireless communication to facilitate synchronous construction site to office collaboration. We demonstrate the capabilities and potentials of this system concept for construction defect management. The on-site crew uses a handheld mobile device to collect defect information and transfers the information to the design office through wireless communication by sending the information to a database listener. The digital workbench application monitors the database and synchronizes the location of the visual information on the site with the 3D model on the server. Integrated with 3D viewing capability in a CAD system, designers can interact with the combined model/site data using a horizontal and vertical screen. A case study compared the telematic digital workbench against paper-based and Pocket PC-based methods for defect management in a controlled laboratory experiment. The case study results show that the telematic digital workbench has the potential to improve the accuracy of matching site data to digital data and reduce information loss between site and office collaboration.",,https://doi.org/10.1016/j.autcon.2009.03.005,https://www.sciencedirect.com/science/article/pii/S0926580509000338,,,"Remote collaboration, Construction defect management, Mobile computing, Wireless communication, Tabletop tangible interfaces",,0926-5805,,,Study describing digital tabletop techniques,45770.6323611111,45793.5659259259,gmfreitas,gmfreitas,Accepted,
,PAR: A Collaborative Game for Multitouch Tabletop to Support Social Interaction of Users with Autism,Greis F. Mireya Silva and Alberto Raposo and Maryse Suplino,Procedia Computer Science,2014,Science@Direct,84-93,27,"We present the design and evaluation of the multiuser collaborative game PAR for multitouch tabletops. PAR was designed with four collaboration patterns to contribute to the social interaction skills of youngsters with Autism. These were obtained from collaboration patterns used in applications for users with High-Functioning Autism (HFA) and modified according to the requirements of target users (youngsters with autism more impaired than those with HFA). PAR was evaluated using research criteria about social interaction actions achieved by the users during the collaborative work in the game. We conducted 51 test sessions recorded in audio and video (17 sessions for each game phase) with 5 youngsters with Autism, changing pairs of players and their roles in the game. The results suggest that each collaboration pattern motivates the need for collaboration and encourages the creation of social interaction intentions or situations among users.",,https://doi.org/10.1016/j.procs.2014.02.011,https://www.sciencedirect.com/science/article/pii/S1877050914000131,,,"Collaborative games, multitouch tabletop, autism",,1877-0509,,"5th International Conference on Software Development and Technologies for Enhancing Accessibility and Fighting Info-exclusion, DSAI 2013",Articles that omits the tabletop technique,45770.6323611111,45793.5527662037,gmfreitas,gmfreitas,Rejected,
,Evaluation of an Interactive Computer-Enabled Tabletop Learning Tool for Children with Special Needs,"Hasan, Nazmul and Islam, Muhammad Nazrul and Choudhury, Nazim",Journal of Educational Computing Research,2023,Scopus,2105 – 2137,60,"The research on computer mediated interventions and technologies (e.g., digital tabletop tool) that have seminal relevance to the intervention strategies designed for the children diagnosed with Autism Spectrum Disorder (ASD) mostly remain confined within the developed nation. The objective of this study is threefold: firstly, to reveal the design principles to be followed in developing an interactive and affordable computer-enabled table-top tool for the children with special needs; secondly, to develop a physical prototype following the revealed principles; and finally, to evaluate the usability performance of this tool. This study presents a mixed method research while the data collection process includes both ethnographic study and semi-structured interviews of both the teachers and students of a special school dedicated for teaching the children with ASD. As outcomes, along with a list of design principles, and a prototype of a computer-enabled, single touch, single user, and affordable educational intervention tool targeting the children diagnosed with ASD, the results of the empirical evaluation of the prototype demonstrated high effectiveness (72% average success rate for the students vs. 92% for the teachers), efficiency (1.20 minutes average task completion time for the students vs. 0.48 minutes for the teachers) and satisfaction rate (4.46 for the students vs. 4.66 for the teachers out of 5) for the developed tool. Both types of the participants were found satisfied with the usability of the tabletop prototype and positively endorsed its effectiveness in improving the learning environment of the children with special needs. © The Author(s) 2022.",Article,10.1177/07356331221105396,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85131100904&doi=10.1177%2f07356331221105396&partnerID=40&md5=e75712437d33ec1e03c82a4101002982,,,,,,,Cited by: 9,Interfaces with only mouse/keyboard interaction,45770.6340972222,45793.7830208333,gmfreitas,gmfreitas,Rejected,
,How do interactive tabletop systems influence collaboration?,Stéphanie Buisine and Guillaume Besacier and Améziane Aoussat and Frédéric Vernier,Computers in Human Behavior,2012,Science@Direct,49-59,28,"This paper examines some aspects of the usefulness of interactive tabletop systems, if and how these impact collaboration. We chose creative problem solving such as brainstorming as an application framework to test several collaborative media: the use of pen-and-paper tools, the “around-the-table” form factor, the digital tabletop interface, the attractiveness of interaction styles. Eighty subjects in total (20 groups of four members) participated in the experiments. The evaluation criteria were task performance, collaboration patterns (especially equity of contributions), and users’ subjective experience. The “around-the-table” form factor, which is hypothesized to promote social comparison, increased performance and improved collaboration through an increase of equity. Moreover, the attractiveness of the tabletop device improved subjective experience and increased motivation to engage in the task. However, designing attractiveness seems a highly challenging issue, since overly attractive interfaces may distract users from the task.",,https://doi.org/10.1016/j.chb.2011.08.010,https://www.sciencedirect.com/science/article/pii/S0747563211001658,,,"Tabletop interfaces, Creative problem solving, Brainstorming, Social loafing, Collaboration, Motivation",,0747-5632,,,Study describing digital tabletop application that mentions the hardware used,45770.6323611111,45793.5233333333,gmfreitas,gmfreitas,Accepted,
,Implementation and evaluations of vision-based finger flicking gesture recognition for tabletops,"Sato, Toshiki and Fukuchi, Kentaro and Koike, Hideki",,2008,IEEE Digital Library,137-144,,"Finger flicking is a familiar finger movement, and we often flick a small object on the table with a finger in our daily life. We developed a flicking gesture recognition system called the ‘OHAJIKI Interface’, which can track very rapid flicking movements using a high-speed camera, and estimate the flicking power and direction in real time. In this paper, we describe the recognition techniques of the flicking gesture on a large LCD to produce a novel tabletop system that enables us to use the gesture to flick a virtual marble on the table. Moreover, we also present an evaluation of a vision-based flicking tabletop system as an entertainment application.",,10.1109/TABLETOP.2008.4660196,,,,Fingers;Games;Estimation;Tracking;Cameras;Pixel;Computers,,,,,Study describing digital tabletop application that mentions the hardware used,45770.6294212963,45793.4965509259,gmfreitas,gmfreitas,Accepted,
,Sea of Genes: A Reflection on Visualising Metagenomic Data for Museums,"Dasu, Keshav and Ma, Kwan-Liu and Ma, Joyce and Frazier, Jennifer",IEEE Transactions on Visualization and Computer Graphics,2021,IEEE Digital Library,935-945,27,"We examine the process of designing an exhibit to communicate scientific findings from a complex dataset and unfamiliar domain to the public in a science museum. Our exhibit sought to communicate new lessons based on scientific findings from the domain of metagenomics. This multi-user exhibit had three goals: (1) to inform the public about microbial communities and their daily cycles; (2) to link microbes' activity to the concept of gene expression; (3) and to highlight scientists' use of gene expression data to understand the role of microbes. To address these three goals, we derived visualization designs with three corresponding stories, each corresponding to a goal. We present three successive rounds of design and evaluation of our attempts to convey these goals. We could successfully present one story but had limited success with our second and third goals. This work presents a detailed account of an attempt to explain tightly coupled relationships through storytelling and animation in a multi-user, informal learning environment to a public with varying prior knowledge on the domain and identify lessons for future design.",,10.1109/TVCG.2020.3030412,,,,Animation;Data visualization;Meteorology;Prototypes;Gene expression;Atmospheric modeling;Narrative visualization;storytelling;animation;evaluation;user studies;informal learning environments,,1941-0506,,,Study describing digital tabletop application that mentions the hardware used,45770.6294212963,45793.4932638889,gmfreitas,gmfreitas,Accepted,
,Effects of Viewing Conditions and Rotation Methods in a Collaborative Tabletop AR Environment,"Lee, Sangyoon and Hua, Hong",IEEE Transactions on Visualization and Computer Graphics,2011,IEEE Digital Library,1245-1258,17,"We investigate the effects of viewing conditions and rotation methods on different types of collaborative tasks in a two-user colocated tabletop augmented reality (AR) environment. The viewing condition means how the manipulation of a tabletop world by one user is shown in the other users' views and the rotation method means what type of input devices is used to rotate the tabletop world for alternative orientations. Our experiment considered two viewing conditions (consistent view and inconsistent view), two rotation methods (direct turn and indirect turn), and two task types (synchronous and referring-strong type, and asynchronous and orientation-strong type). A 3D display environment called ""Stereoscopic Collaboration in Augmented and Projective Environments (SCAPE)” was utilized as a test environment. According to the results, the viewing conditions had significant effects on several objective and subjective measurements. On task completion time, their effect for the synchronous and referring-strong type of task was opposite to that for the asynchronous and orientation-strong type of task. On the other hand, the rotation methods had significant effects only on the accumulated turn angle (for both task types) and the number of negotiation phrases (only in the inconsistent viewing condition for the asynchronous and orientation-strong type of task).",,10.1109/TVCG.2011.49,,,,Collaboration;Three dimensional displays;Mice;Turning;Visualization;Performance evaluation;User interfaces;Augmented reality;collaborative computing;evaluation;human factors;user interfaces.,,1941-0506,,,Study evaluating digital tabletop techniques,45770.6294212963,45792.9426157407,gmfreitas,gmfreitas,Accepted,
,Recognition of Paper-Based Conceptual Models Captured Under Uncontrolled Conditions,"Oppl, Stefan and Stary, Christian and Vogl, Simon",IEEE Transactions on Human-Machine Systems,2017,IEEE Digital Library,206-220,47,"Today, modeling and subsequent digital model representations are essential constituents in collaborative endeavors on organizational change. Once created, models need to be digitized for shared stakeholder understanding and further processing. Whenever paper serves as carrier medium, it is likely to disrupt further processing, elicitation, and modeling. While digital environments support transformation processes in collaborative modeling from its very beginning, the necessary technical infrastructure still might hamper situated capturing of models. Hence, this contribution aims to reduce the need for sophisticated technical components by enabling stakeholders to capture their paper-based models in a situation-sensitive way. We present a system that enables capturing paper-based models with mundane technical means by end users under uncontrolled conditions. We describe the components developed for recognition of these models and embed it in a mixed-modality workflow supported by a tabletop interfacing a web platform for further processing. As our empirical evidence demonstrates, this approach enables both situated and error-tolerant capturing of hand-drawn conceptual models by individual users. Moreover, it can be integrated with more sophisticated IT-based modeling tools for further digital processing.",,10.1109/THMS.2016.2611943,,,,Collaboration;Context;Computational modeling;Instruments;Organizations;Context modeling;Image recognition;Collaborative modeling;conceptual model capturing;knowledge elicitation;recognition;representation,,2168-2305,,,The digital tabletop interface was not tangible,45770.6294212963,45792.9211805556,gmfreitas,gmfreitas,Rejected,"É um sistema que analisa uma tabletop analogica, processa os dados, mas não tem display na mesa pro usuário"
,Tabletop File System Access: Associative and Hierarchical Approaches,"Collins, Anthony and Apted, Trent and Kay, Judy",,2007,IEEE Digital Library,113-120,,"This paper presents the design of two tabletop file system interfaces: OriTop, a novel associative access approach to file system interaction, where users navigate multiple file systems by selecting focus files; and the Browser, a hierarchical interface that is based upon the same mental model as conventional desktop file system access. We report a qualitative study with ten users to explore both approaches. OnTop was found to better facilitate collaboration on file access and use, while the more familiar hierarchical model of the Browser was found to be more natural on very early use and has a clear role-particularly in cases where the associative approach fails.",,10.1109/TABLETOP.2007.22,,,,File systems;Collaboration;Navigation;Cognitive science;Microcomputers;Keyboards;Conferences;Information technology;Focusing;Mice,,,,,Study describing digital tabletop application that mentions the hardware used,45770.6294212963,45792.8022800926,gmfreitas,gmfreitas,Accepted,
,StoryGrid [educational computing],"Watson, B. and Kim, J. and Moher, T. and Hindo, C. and Mceneany, T. and Gomez, L.M. and Fransen, S.",IEEE Potentials,2005,IEEE Digital Library,42-46,24,"The StoryGrid project undertook studying the role new interface technologies might play in education, particularly at the high school level. Unfortunately, technology often seizes center stage in high school classrooms; i.e., it becomes the topic of instruction. We believe that learning about technology would be most successful when technology is not the topic, but simply a tool used during instruction. StoryGrid, therefore, was designed to support and to enhance existing narrative activity in classrooms by adhering to the following goals: trigger reflection and interpretation, accommodate individual expression and encourage student discourse.",,10.1109/MP.2005.1462467,,,,Personal digital assistants;Radio frequency;Cellular phones;Shape;User interfaces;Mice;Digital cameras;Motion pictures;Games;Radiofrequency identification,,1558-1772,,,Study describing digital tabletop techniques,45770.6294212963,45792.7974074074,gmfreitas,gmfreitas,Accepted,
,"The living-room: browsing, organizing and presenting digital image collections in interactive environments","Hilliges, O. and Wagner, M. and Terrenghi, L. and Butz, A.",,2007,IEEE Digital Library,552-559,,"We present the living-room, an interactive application for browsing, organizing and sharing digital photos. The application runs in an instrumented environment on a wall display and an interactive tabletop, which is meant to simulate a future living room. We discuss the design rationale as well as the interaction techniques and the technical implementation. To asses how well our design goals were met, we evaluated the application in a study with 10 participants with mostly good results.",,10.1049/cp:20070425,,,,,,0537-9989,,,Study describing digital tabletop application that mentions the hardware used,45770.6294212963,45792.7203703704,gmfreitas,gmfreitas,Accepted,
,Co-located Collaborative Block-Based Programming,"Selwyn-Smith, Ben and Anslow, Craig and Homer, Michael and Wallace, James R.",,2019,IEEE Digital Library,107-116,,"With the increasing need to teach programming to novices using collaborative methods like pair programming, it is important to understand how different input devices can help support collaborative learning. In this paper we present Multi-Device Grace, the first application to explore block-based programming in a cross-device environment consisting of digital tabletops, mobile tablets, and laptops. We conducted a user study (n = 18) to explore how cross-device environments can support co-located collaborative block-based programming. The study used Tiled Grace, an existing block-based programming language, and our extensions: Tabletop Grace (designed for tabletops) and Mobile Grace (designed for tablets). Our results show that the majority of participants felt they were able to collaborate quickly and easily, and the cross device interaction would be particularly beneficial in an education setting.",,10.1109/VLHCC.2019.8818895,,,,Collaboration;Programming profession;Visualization;Portable computers;Task analysis;Software;Block-Based Programming;Collaboration;Cross Device Interaction;Tabletop;Mobile,,1943-6106,,,Study describing digital tabletop application that mentions the hardware used,45770.6293287037,45791.9159490741,gmfreitas,gmfreitas,Accepted,
,Improving Menu Interaction for Cluttered Tabletop Setups with User-Drawn Path Menus,"Leithinger, Daniel and Haller, Michael",,2007,IEEE Digital Library,121-128,,"Many digital tabletop systems have a graphical user interface (GUI) that features context (or pop-up) menus. While linear and pie menus are commonly used for direct pen and touch interaction, their appearance can be problematic on a digital tabletop display, where physical objects might occlude menu items. We propose a user-drawn path menu, that appears along a custom path to avoid such occlusions. This paper introduces four different metaphors for user-drawn context menus: the Fan Out Menu, the Card Deck Menu, the Pearl String Menu, and the Trail Menu. It also presents the results we acquired from a user study, where participants were able to work faster when using our user-drawn menus, on cluttered tabletop setups.",,10.1109/TABLETOP.2007.24,,,,Displays;Graphical user interfaces;User interfaces;Space technology;Conferences;Mobile handsets;Computer interfaces;Portable computers;Shape;Cameras,,,,,Study evaluating digital tabletop techniques,45770.6293287037,45791.8850231482,gmfreitas,gmfreitas,Accepted,
,Interactive Tree Comparison for Co-located Collaborative Information Visualization,"Isenberg, Petra and Carpendale, Sheelagh",IEEE Transactions on Visualization and Computer Graphics,2007,IEEE Digital Library,1232-1239,13,"In many domains increased collaboration has lead to more innovation by fostering the sharing of knowledge, skills, and ideas. Shared analysis of information visualizations does not only lead to increased information processing power, but team members can also share, negotiate, and discuss their views and interpretations on a dataset and contribute unique perspectives on a given problem. Designing technologies to support collaboration around information visualizations poses special challenges and relatively few systems have been designed. We focus on supporting small groups collaborating around information visualizations in a co-located setting, using a shared interactive tabletop display. We introduce an analysis of challenges and requirements for the design of co-located collaborative information visualization systems. We then present a new system that facilitates hierarchical data comparison tasks for this type of collaborative work. Our system supports multi-user input, shared and individual views on the hierarchical data visualization, flexible use of representations, and flexible workspace organization to facilitate group work around visualizations.",,10.1109/TVCG.2007.70568,,,,Collaboration;Collaborative work;Data visualization;Information analysis;Collaborative tools;Biomedical imaging;Data analysis;Technological innovation;Information processing;Displays;Information visualization;collaboration;co-located work;hierarchical data comparison,,1941-0506,,,Study describing digital tabletop techniques,45770.6293287037,45791.8590509259,gmfreitas,gmfreitas,Accepted,
